waveobs	flux	err
565.108250545346	0.0	0.0
565.1099289633927	0.0	0.0
565.1116073814392	0.0	0.0
565.1132857994859	0.0	0.0
565.1149642175326	0.0	0.0
565.1166426355792	0.0	0.0
565.1183210536259	0.0	0.0
565.1199994716724	0.0	0.0
565.121677889719	0.0	0.0
565.1233563077658	0.0	0.0
565.1250347258124	0.0	0.0
565.126713143859	0.0	0.0
565.1283915619056	0.0	0.0
565.1300699799522	0.0	0.0
565.1317483979988	0.0	0.0
565.1334268160456	0.0	0.0
565.1351052340922	0.0	0.0
565.1367836521387	0.0	0.0
565.1384620701854	0.0	0.0
565.140140488232	0.0	0.0
565.1418189062787	0.0	0.0
565.1434973243254	0.0	0.0
565.1451757423719	0.0	0.0
565.1468541604185	0.0	0.0
565.1485325784652	0.0	0.0
565.1502109965118	0.0	0.0
565.1518894145585	0.0	0.0
565.1535678326051	0.0	0.0
565.1552462506517	0.0	0.0
565.1569246686983	0.0	0.0
565.158603086745	0.0	0.0
565.1602815047916	0.0	0.0
565.1619599228382	0.0	0.0
565.1636383408849	0.0	0.0
565.1653167589315	0.0	0.0
565.1669951769782	0.0	0.0
565.1686735950248	0.0	0.0
565.1703520130712	0.0	0.0
565.1720304311181	0.0	0.0
565.1737088491647	0.0	0.0
565.1753872672112	0.0	0.0
565.177065685258	0.0	0.0
565.1787441033044	0.0	0.0
565.1804225213511	0.0	0.0
565.1821009393979	0.0	0.0
565.1837793574445	0.0	0.0
565.185457775491	0.0	0.0
565.1871361935376	0.0	0.0
565.1888146115842	0.0	0.0
565.1904930296309	0.0	0.0
565.1921714476777	0.0	0.0
565.1938498657242	0.0	0.0
565.1955282837707	0.0	0.0
565.1972067018174	0.0	0.0
565.198885119864	0.0	0.0
565.2005635379107	0.0	0.0
565.2022419559574	0.0	0.0
565.2039203740039	0.0	0.0
565.2055987920505	0.0	0.0
565.2072772100972	0.0	0.0
565.2089556281439	0.0	0.0
565.2106340461905	0.0	0.0
565.2123124642371	0.0	0.0
565.2139908822837	0.0	0.0
565.2156693003303	0.0	0.0
565.217347718377	0.0	0.0
565.2190261364237	0.0	0.0
565.2207045544703	0.0	0.0
565.2223829725169	0.0	0.0
565.2240613905635	0.0	0.0
565.2257398086102	0.0	0.0
565.2274182266568	0.0	0.0
565.2290966447034	0.0	0.0
565.2307750627501	0.0	0.0
565.2324534807967	0.0	0.0
565.2341318988433	0.0	0.0
565.23581031689	0.0	0.0
565.2374887349366	0.0	0.0
565.2391671529832	0.0	0.0
565.2408455710299	0.0	0.0
565.2425239890765	0.0	0.0
565.2442024071231	0.0	0.0
565.2458808251697	0.0	0.0
565.2475592432164	0.0	0.0
565.249237661263	0.0	0.0
565.2509160793097	0.0	0.0
565.2525944973563	0.0	0.0
565.2542729154028	0.0	0.0
565.2559513334495	0.0	0.0
565.2576297514962	0.0	0.0
565.2593081695428	0.0	0.0
565.2609865875895	0.0	0.0
565.262665005636	0.0	0.0
565.2643434236826	0.0	0.0
565.2660218417293	0.0	0.0
565.267700259776	0.0	0.0
565.2693786778226	0.0	0.0
565.2710570958692	0.0	0.0
565.2727355139158	0.0	0.0
565.2744139319625	0.0	0.0
565.2760923500092	0.0	0.0
565.2777707680558	0.0	0.0
565.2794491861024	0.0	0.0
565.281127604149	0.0	0.0
565.2828060221956	0.0	0.0
565.2844844402423	0.0	0.0
565.286162858289	0.0	0.0
565.2878412763355	0.0	0.0
565.2895196943822	0.0	0.0
565.2911981124288	0.0	0.0
565.2928765304754	0.0	0.0
565.2945549485221	0.0	0.0
565.2962333665687	0.0	0.0
565.2979117846153	0.0	0.0
565.299590202662	0.0	0.0
565.3012686207086	0.0	0.0
565.3029470387552	0.0	0.0
565.3046254568019	0.0	0.0
565.3063038748485	0.0	0.0
565.3079822928951	0.0	0.0
565.3096607109418	0.0	0.0
565.3113391289884	0.0	0.0
565.3130175470349	0.0	0.0
565.3146959650817	0.0	0.0
565.3163743831283	0.0	0.0
565.3180528011749	0.0	0.0
565.3197312192216	0.0	0.0
565.3214096372681	0.0	0.0
565.3230880553147	0.0	0.0
565.3247664733615	0.0	0.0
565.3264448914081	0.0	0.0
565.3281233094548	0.0	0.0
565.3298017275013	0.0	0.0
565.3314801455479	0.0	0.0
565.3331585635947	0.0	0.0
565.3348369816413	0.0	0.0
565.3365153996879	0.0	0.0
565.3381938177345	0.0	0.0
565.3398722357811	0.0	0.0
565.3415506538277	0.0	0.0
565.3432290718745	0.0	0.0
565.3449074899211	0.0	0.0
565.3465859079676	0.0	0.0
565.3482643260143	0.0	0.0
565.3499427440609	0.0	0.0
565.3516211621074	0.0	0.0
565.3532995801543	0.0	0.0
565.3549779982008	0.0	0.0
565.3566564162473	0.0	0.0
565.358334834294	0.0	0.0
565.3600132523407	0.0	0.0
565.3616916703872	0.0	0.0
565.363370088434	0.0	0.0
565.3650485064805	0.0	0.0
565.3667269245271	0.0	0.0
565.3684053425739	0.0	0.0
565.3700837606204	0.0	0.0
565.371762178667	0.0	0.0
565.3734405967137	0.0	0.0
565.3751190147603	0.0	0.0
565.376797432807	0.0	0.0
565.3784758508536	0.0	0.0
565.3801542689001	0.0	0.0
565.381832686947	0.0	0.0
565.3835111049935	0.0	0.0
565.3851895230401	0.0	0.0
565.3868679410868	0.0	0.0
565.3885463591333	0.0	0.0
565.3902247771799	0.0	0.0
565.3919031952267	0.0	0.0
565.3935816132733	0.0	0.0
565.3952600313199	0.0	0.0
565.3969384493665	0.0	0.0
565.3986168674131	0.0	0.0
565.4002952854598	0.0	0.0
565.4019737035065	0.0	0.0
565.4036521215531	0.0	0.0
565.4053305395996	0.0	0.0
565.4070089576463	0.0	0.0
565.4086873756929	0.0	0.0
565.4103657937396	0.0	0.0
565.4120442117863	0.0	0.0
565.4137226298328	0.0	0.0
565.4154010478794	0.0	0.0
565.4170794659261	0.0	0.0
565.4187578839727	0.0	0.0
565.4204363020194	0.0	0.0
565.422114720066	0.0	0.0
565.4237931381126	0.0	0.0
565.4254715561592	0.0	0.0
565.4271499742059	0.0	0.0
565.4288283922526	0.0	0.0
565.4305068102992	0.0	0.0
565.4321852283458	0.0	0.0
565.4338636463924	0.0	0.0
565.4355420644391	0.0	0.0
565.4372204824857	0.0	0.0
565.4388989005323	0.0	0.0
565.440577318579	0.0	0.0
565.4422557366256	0.0	0.0
565.4439341546722	0.0	0.0
565.4456125727189	0.0	0.0
565.4472909907654	0.0	0.0
565.4489694088121	0.0	0.0
565.4506478268588	0.0	0.0
565.4523262449054	0.0	0.0
565.454004662952	0.0	0.0
565.4556830809986	0.0	0.0
565.4573614990453	0.0	0.0
565.4590399170919	0.0	0.0
565.4607183351386	0.0	0.0
565.4623967531852	0.0	0.0
565.4640751712317	0.0	0.0
565.4657535892784	0.0	0.0
565.4674320073251	0.0	0.0
565.4691104253717	0.0	0.0
565.4707888434184	0.0	0.0
